no,타임스탬프,t_ms,t_rel_ms,서버시각_t_ms,시각오프셋_ms,위도_x1e5,경도_x1e5,속도_kmh,방위_deg,poiID,상대번호
198,2024-03-06 23:52:50.450,1709736770450,22928210450,1709736771000,-1,-1,-1,-1,-1,-1,-1
199,2024-03-07 09:33:49.021,1709771629021,22963069021,1709771628000,-1,-1,-1,-1,-1,-1,-1
200,2024-03-07 09:33:49.504,1709771629504,22963069504,1709771629000,-1,-1,-1,-1,-1,-1,-1
201,2024-03-07 09:33:50.395,1709771630395,22963070395,1709771629000,-1,-1,-1,-1,-1,-1,-1
202,2024-03-07 10:33:47.683,1709775227683,22966667683,1709775228000,-1,-1,-1,-1,-1,-1,-1
203,2024-03-07 10:33:48.070,1709775228070,22966668070,1709775229000,-1,-1,-1,-1,-1,-1,-1
204,2024-03-07 10:33:48.707,1709775228707,22966668707,1709775229000,-1,-1,-1,-1,-1,-1,-1
205,2024-03-10 12:51:53.243,1710042713243,23234153243,1710042714000,-1,-1,-1,-1,-1,-1,-1
206,2024-03-10 12:51:53.539,1710042713539,23234153539,1710042714000,-1,-1,-1,-1,-1,-1,-1
207,2024-03-10 12:51:54.294,1710042714294,23234154294,1710042715000,-1,-1,-1,-1,-1,-1,-1
208,2024-03-10 15:23:48.021,1710051828021,23243268021,1710051828000,-1,-1,-1,-1,-1,-1,-1
209,2024-03-10 15:23:48.413,1710051828413,23243268413,1710051829000,-1,-1,-1,-1,-1,-1,-1
210,2024-03-10 15:23:49.164,1710051829164,23243269164,1710051829000,-1,-1,-1,-1,-1,-1,-1
211,2024-03-10 16:23:48.156,1710055428156,23246868156,1710055428000,-1,-1,-1,-1,-1,-1,-1
212,2024-03-10 16:23:48.531,1710055428531,23246868531,1710055429000,-1,-1,-1,-1,-1,-1,-1
213,2024-03-10 16:23:49.097,1710055429097,23246869097,1710055429000,-1,-1,-1,-1,-1,-1,-1
214,2024-03-10 21:20:40.516,1710073240516,23264680516,1710073239000,-1,-1,-1,-1,-1,-1,-1
215,2024-03-10 21:20:41.013,1710073241013,23264681013,1710073240000,-1,-1,-1,-1,-1,-1,-1
216,2024-03-10 21:20:41.796,1710073241796,23264681796,1710073241000,-1,-1,-1,-1,-1,-1,-1
217,2024-03-11 00:08:07.546,1710083287546,23274727546,1710083288000,-1,-1,-1,-1,-1,-1,-1
218,2024-03-11 00:08:07.861,1710083287861,23274727861,1710083288000,-1,-1,-1,-1,-1,-1,-1
219,2024-03-11 00:08:08.428,1710083288428,23274728428,1710083289000,-1,-1,-1,-1,-1,-1,-1
220,2024-03-11 02:52:31.511,1710093151511,23284591511,1710093152000,-1,-1,-1,-1,-1,-1,-1
221,2024-03-11 02:52:31.936,1710093151936,23284591936,1710093152000,-1,-1,-1,-1,-1,-1,-1
222,2024-03-11 02:52:32.532,1710093152532,23284592532,1710093153000,-1,-1,-1,-1,-1,-1,-1
223,2024-03-12 11:38:14.411,1710211094411,23402534411,1710211095000,-1,-1,-1,-1,-1,-1,-1
224,2024-03-12 11:38:14.738,1710211094738,23402534738,1710211095000,-1,-1,-1,-1,-1,-1,-1
225,2024-03-12 11:38:15.343,1710211095343,23402535343,1710211096000,-1,-1,-1,-1,-1,-1,-1
226,2024-03-12 12:31:36.312,1710214296312,23405736312,1710214297000,-1,-1,-1,-1,-1,-1,-1
227,2024-03-12 12:31:36.648,1710214296648,23405736648,1710214297000,-1,-1,-1,-1,-1,-1,-1
228,2024-03-12 12:31:37.209,1710214297209,23405737209,1710214298000,-1,-1,-1,-1,-1,-1,-1
229,2024-03-12 13:40:15.990,1710218415990,23409855990,1710218416000,-1,-1,-1,-1,-1,-1,-1
230,2024-03-12 13:40:16.348,1710218416348,23409856348,1710218416000,-1,-1,-1,-1,-1,-1,-1
231,2024-03-12 13:40:16.889,1710218416889,23409856889,1710218417000,-1,-1,-1,-1,-1,-1,-1
232,2024-03-12 16:25:37.853,1710228337853,23419777853,1710228338000,-1,-1,-1,-1,-1,-1,-1
233,2024-03-12 16:25:38.321,1710228338321,23419778321,1710228338000,-1,-1,-1,-1,-1,-1,-1
234,2024-03-12 16:25:39.027,1710228339027,23419779027,1710228339000,-1,-1,-1,-1,-1,-1,-1
235,2024-03-12 17:25:37.983,1710231937983,23423377983,1710231938000,-1,-1,-1,-1,-1,-1,-1
236,2024-03-12 17:25:38.509,1710231938509,23423378509,1710231938000,-1,-1,-1,-1,-1,-1,-1
237,2024-03-12 17:25:39.242,1710231939242,23423379242,1710231939000,-1,-1,-1,-1,-1,-1,-1
238,2024-03-12 19:11:28.921,1710238288921,23429728921,1710238289000,-1,-1,-1,-1,-1,-1,-1
239,2024-03-12 19:11:29.549,1710238289549,23429729549,1710238290000,-1,-1,-1,-1,-1,-1,-1
240,2024-03-12 19:11:30.062,1710238290062,23429730062,1710238290000,-1,-1,-1,-1,-1,-1,-1
241,2024-03-12 20:11:29.217,1710241889217,23433329217,1710241889000,-1,-1,-1,-1,-1,-1,-1
242,2024-03-12 20:11:29.620,1710241889620,23433329620,1710241890000,-1,-1,-1,-1,-1,-1,-1
243,2024-03-12 20:11:31.379,1710241891379,23433331379,1710241891000,-1,-1,-1,-1,-1,-1,-1
244,2024-03-13 09:27:51.780,1710289671780,23481111780,1710289672000,-1,-1,-1,-1,-1,-1,-1
245,2024-03-13 09:27:52.326,1710289672326,23481112326,1710289673000,-1,-1,-1,-1,-1,-1,-1
246,2024-03-13 09:27:52.937,1710289672937,23481112937,1710289673000,-1,-1,-1,-1,-1,-1,-1
247,2024-03-13 10:27:49.699,1710293269699,23484709699,1710293270000,-1,-1,-1,-1,-1,-1,-1
248,2024-03-13 10:27:50.079,1710293270079,23484710079,1710293270000,-1,-1,-1,-1,-1,-1,-1
