radius,slot,dist_km,plain,decrypted
2.0,12652,0.0,1,1.0000000002611669
2.0,8496,0.0,1,0.9999999995268638
2.0,6961,0.0,1,0.9999999997647717
2.0,17953,0.0,1,1.000000000797025
2.0,21413,0.0,1,0.9999999996559789
2.0,1500,0.0,1,0.9999999997128973
2.0,1676,0.0,1,0.999999999514733
2.0,3450,0.0,1,0.9999999993113932
2.0,343,0.0,1,0.9999999996466776
2.0,9759,2.0768426414267775,0,3.6786265948889044e-10
2.0,15873,2.0768426414267775,0,3.802236191480553e-10
2.0,12931,2.0768426414267775,0,7.783924848359542e-10
2.0,15544,2.0768426414267775,0,-4.774989321809002e-11
2.0,14160,2.0768426414267775,0,4.0551837268925913e-10
2.0,2876,2.0768426414267775,0,4.43382386361435e-10
2.0,4069,2.0768426414267775,0,-1.4187449063003136e-10
2.0,1128,2.0768426414267775,0,-9.036853014531451e-11
2.0,20424,2.0768426414267775,0,1.180093556478649e-09
2.0,6920,2.0768426414267775,0,2.957434971667804e-10
2.0,18287,2.0768426414267775,0,-1.0170838089958099e-10
2.0,19224,2.0768426414267775,0,-1.8540802226851838e-10
2.0,21031,4.070379948063401,0,-4.1092200203428107e-10
2.0,16633,4.070379948063401,0,-9.355929200297484e-10
2.0,15685,4.070379948063401,0,2.1674137892782324e-10
2.0,8755,4.070379948063401,0,-3.122500478877593e-10
2.0,10051,4.070379948063401,0,-6.249808847210314e-11
2.0,6583,4.070379948063401,0,1.1325982895787304e-12
2.0,4382,4.070379948063401,0,-3.5550946083979007e-10
2.0,14941,4.070379948063401,0,-2.522332013588772e-10
2.0,10987,4.070379948063401,0,-1.5960462030246518e-10
2.0,506,4.070379948063401,0,1.2248241444155106e-10
2.0,2554,6.262313927430596,0,4.9946771353454996e-11
2.0,13624,6.262313927430596,0,-2.230851082498081e-10
2.0,21137,7.471491323945595,0,-3.96694825631257e-10
2.0,21727,12.760285368269132,0,8.474302486154993e-11
2.0,22028,17.392615667541104,0,1.8835646076509317e-10
2.0,22113,24.655931973646123,0,-5.899049027036085e-10
2.0,0,517.7953016812207,0,1.446002040328409e-09
2.0,1,517.7953016812207,0,2.1003743189140778e-10
3.0,18200,0.0,1,1.0000000001956912
3.0,6184,0.0,1,1.000000000539346
3.0,12761,0.0,1,1.0000000000484706
3.0,12652,0.0,1,1.0000000004418839
3.0,8496,0.0,1,1.0000000005037948
3.0,6961,0.0,1,0.9999999999662645
3.0,17953,0.0,1,1.0000000005578147
3.0,21413,0.0,1,1.000000000208908
3.0,1500,0.0,1,0.999999998054028
3.0,1676,0.0,1,1.0000000006211458
3.0,3450,0.0,1,1.000000000250654
3.0,343,0.0,1,1.0000000001469873
3.0,9759,2.0768426414267775,1,1.0000000001859084
3.0,15873,2.0768426414267775,1,0.9999999995493234
3.0,12931,2.0768426414267775,1,0.9999999997948109
3.0,15544,2.0768426414267775,1,0.9999999994345597
