dataset,radius,slot,step_input,he_output,dist_km
k5_jellybean,0.2,169,-0.002431449639295156,-3.479783529196423e-10,43.61945268815586
k5_jellybean,0.2,171,-0.0024248551626693043,2.151700686098951e-10,43.560262338839074
k5_jellybean,0.2,173,-0.002431449639295156,-1.433549793932431e-10,43.61945268815586
k5_jellybean,0.2,175,-0.0024248551626693043,-4.767638516428152e-10,43.560262338839074
k5_jellybean,0.2,177,-0.002431449639295156,1.4507496721405017e-10,43.61945268815586
k5_jellybean,0.2,179,-0.0024248551626693043,-2.57391138363798e-10,43.560262338839074
k5_jellybean,0.2,181,-9.642571900619405e-06,-1.0102064166563947e-09,2.754149869248217
k5_jellybean,0.2,184,-9.642571900619405e-06,-1.528793751948556e-10,2.754149869248217
k5_jellybean,0.2,186,-9.642571900619405e-06,-5.29018474028965e-10,2.754149869248217
k5_jellybean,0.2,189,-9.47517679409476e-06,1.1236706687024233e-09,2.7302663474754754
k5_jellybean,0.2,191,-9.46513288291183e-06,-3.267452865162529e-10,2.728826659474686
k5_jellybean,0.2,192,-9.572495382907759e-06,-6.576188760317611e-10,2.7441768194648244
k5_jellybean,0.2,194,-9.5801875704102e-06,-8.786856327444452e-10,2.745273315415976
k5_jellybean,0.2,195,-3.093685229799719e-05,3.921767731769143e-10,4.924244097698194
k5_jellybean,0.2,197,-3.0950725356095385e-05,-6.61240482834223e-11,4.925346246040596
k5_jellybean,0.2,199,-9.621090856597416e-06,3.692667607745977e-10,2.7510966033112645
k5_jellybean,0.2,201,-9.620290391348425e-06,6.498241640438799e-11,2.750982761539387
k5_jellybean,0.2,203,-9.621090856597416e-06,4.98085461800658e-10,2.7510966033112645
k5_jellybean,0.2,205,-9.620290391348425e-06,7.491086048159833e-10,2.750982761539387
k5_jellybean,0.2,207,-3.509987609614733e-07,3.94863404444527e-10,0.5609434781842924
k5_jellybean,0.2,209,1.8601066045822018e-08,0.9986390219208268,0.1595136667991456
k5_jellybean,0.2,211,-0.0024342771757875736,-2.3553361945129704e-10,43.644807350021274
k5_jellybean,0.2,213,-0.002434283283406514,-1.0181137769780279e-10,43.644862101404954
k5_jellybean,0.2,215,-9.509483270555642e-06,2.5778901493700544e-10,2.735178101902854
k5_jellybean,0.2,218,-9.536476794097883e-06,-2.9427521690374364e-10,2.7390366486149396
k5_jellybean,0.2,221,-2.6465863346001455e-05,3.310852963949694e-11,4.555174819577347
k5_jellybean,0.2,223,-2.6464783641484703e-05,-7.146899115610095e-10,4.5550820810256605
k5_jellybean,0.2,225,-9.52482077055506e-06,-7.244306650383364e-11,2.737371163907096
k5_jellybean,0.2,227,-0.00039451182571262523,2.2526027324054893e-10,17.57118919440943
k5_jellybean,0.2,229,-0.0024310736057185636,-2.934208058530493e-10,43.61607966576149
k5_jellybean,0.2,232,-0.0024310736057185636,-1.9142024043251437e-10,43.61607966576149
k5_jellybean,0.2,234,-0.0023641079007222193,6.343232447979748e-10,43.01117924354588
k5_jellybean,0.2,236,-0.0024310736057185636,-1.7848480742264287e-10,43.61607966576149
k5_jellybean,0.2,238,-0.0023641079007222193,9.76462997630437e-10,43.01117924354588
k5_jellybean,0.2,240,-0.0024310736057185636,-3.0078861761080327e-10,43.61607966576149
k5_jellybean,0.2,242,-0.0023641079007222193,1.959740519433045e-09,43.01117924354588
k5_jellybean,0.2,244,-0.0024310736057185636,-1.4488293862456861e-10,43.61607966576149
k5_jellybean,0.2,246,-0.0023641079007222193,2.1412402066076798e-10,43.01117924354588
k5_jellybean,0.2,248,-0.0024310736057185636,-4.973702961250325e-10,43.61607966576149
k5_jellybean,0.2,250,-0.0023641079007222193,2.422310878179121e-10,43.01117924354588
k5_jellybean,0.2,252,-0.0024310736057185636,-3.053247067470164e-11,43.61607966576149
k5_jellybean,0.2,254,-0.0023641079007222193,-2.6443923313544678e-09,43.01117924354588
k5_jellybean,0.2,256,-0.0024310736057185636,-2.1892770088808854e-10,43.61607966576149
k5_jellybean,0.2,258,-0.0023641079007222193,6.890311700471339e-11,43.01117924354588
k5_jellybean,0.2,260,-0.0024310736057185636,-3.0886995422936524e-10,43.61607966576149
k5_jellybean,0.2,262,-0.0023641079007222193,1.4997799409558106e-09,43.01117924354588
k5_jellybean,0.2,264,-0.0024310736057185636,-3.661986767110869e-10,43.61607966576149
k5_jellybean,0.2,266,-0.0023641079007222193,5.302022971533818e-10,43.01117924354588
k5_jellybean,0.2,268,-0.0024310736057185636,2.9536352406273487e-10,43.61607966576149
k5_jellybean,0.2,270,-0.0023641079007222193,7.18387031073575e-10,43.01117924354588
k5_jellybean,0.2,272,-0.0024310736057185636,-6.989653655168022e-10,43.61607966576149
k5_jellybean,0.2,274,-0.0023641079007222193,2.5851191731137297e-10,43.01117924354588
