dataset,radius,slot,dist_km,plain,decrypted
k5_kitkat,5.0,4714,28.08202447419198,0,1.2140829639651854e-10
k5_kitkat,5.0,1191,56.319647110767455,0,3.165860781069144e-10
k5_kitkat,5.0,1199,56.319647110767455,0,-1.2256301691430886e-11
k5_kitkat,5.0,1196,56.319647110767455,0,7.092129135565639e-10
k5_kitkat,5.0,2960,149.65183800739752,0,-1.1248341837786418e-09
k5_kitkat,5.0,2965,149.65183800739752,0,-3.698033469970992e-10
k5_kitkat,5.0,1212,160.63315431444488,0,-4.154679423159774e-10
k5_kitkat,5.0,1285,161.12073149233893,0,-1.21196434851996e-10
k5_kitkat,5.0,1274,161.13088292827368,0,3.501640570028031e-11
k5_kitkat,5.0,1434,161.13217815199386,0,3.304443421183003e-10
k5_kitkat,5.0,1436,161.13217815199386,0,-3.407774426884072e-10
k5_kitkat,5.0,1469,161.13888763510175,0,-1.598742120109053e-10
k5_kitkat,5.0,1559,161.25334783696044,0,1.7544819809026098e-09
k5_kitkat,5.0,1295,161.45818193108852,0,-9.079310914523023e-11
k5_kitkat,5.0,1321,161.58348936223618,0,4.0603695825504823e-11
