dataset,radius,slot,step_input,he_output,dist_km
k5_kitkat,0.2,2654,-0.03549700476998055,2.954899451848931e-10,166.66299215175732
k5_kitkat,0.2,2655,-0.03549700476998055,3.8421897034956845e-10,166.66299215175732
k5_kitkat,0.2,2657,-0.03549700476998055,4.147883443058377e-10,166.66299215175732
k5_kitkat,0.2,2658,-0.03549700476998055,-1.93822224366739e-10,166.66299215175732
k5_kitkat,0.2,2660,-0.03549700476998055,-1.1447950562874483e-09,166.66299215175732
k5_kitkat,0.2,2661,-0.03549700476998055,2.2070565631461373e-10,166.66299215175732
k5_kitkat,0.2,2948,-0.028989236776960955,-7.994733571268937e-10,150.61276484106088
k5_kitkat,0.2,2949,-0.028948479041586258,-1.989173444041647e-10,150.50684995242355
k5_kitkat,0.2,2960,-0.028620506801877298,5.158609530625591e-10,149.65183800739752
k5_kitkat,0.2,2961,-0.028620506801877298,-2.356784251869111e-10,149.65183800739752
k5_kitkat,0.2,2964,-0.028620506801877298,4.5370132184055165e-10,149.65183800739752
k5_kitkat,0.2,2965,-0.028620506801877298,-3.105010615536437e-10,149.65183800739752
k5_kitkat,0.2,2975,-0.028620506801877298,-2.703244885771761e-11,149.65183800739752
k5_kitkat,0.2,2976,-0.028620506801877298,-5.522293858959393e-10,149.65183800739752
k5_kitkat,0.2,3032,-0.028620506801877298,1.661328684158831e-10,149.65183800739752
k5_kitkat,0.2,3035,-0.028620506801877298,4.0343726339454016e-11,149.65183800739752
k5_kitkat,0.2,3036,-0.028620506801877298,1.7213429277027503e-10,149.65183800739752
k5_kitkat,0.2,3039,-0.02860925724985352,6.165454391910069e-10,149.62242415731797
k5_kitkat,0.2,3243,-0.010509704808891216,-4.140117436396176e-10,90.68580710346319
k5_kitkat,0.2,3246,-0.010509704808891216,1.3768323223444045e-10,90.68580710346319
k5_kitkat,0.2,3576,-6.555253791597387e-05,5.944379486762174e-10,7.164848777231444
k5_kitkat,0.2,3579,-6.465317408136832e-05,4.078597531380567e-10,7.115567658037627
k5_kitkat,0.2,3684,-4.941727852706862e-07,-1.954805726257847e-10,0.6532164191039603
k5_kitkat,0.2,3685,-4.941727852706862e-07,-5.785498707529125e-11,0.6532164191039603
k5_kitkat,0.2,3686,-4.941727852706862e-07,-4.98990875308808e-10,0.6532164191039603
k5_kitkat,0.2,3687,-4.941727852706862e-07,5.729192862115745e-10,0.6532164191039603
k5_kitkat,0.2,3688,-4.941727852706862e-07,-6.822244137714075e-10,0.6532164191039603
k5_kitkat,0.2,3689,-4.941727852706862e-07,-2.681603834066364e-10,0.6532164191039603
k5_kitkat,0.2,3710,-6.080056652336815e-07,3.7836966157089564e-10,0.7181686856111871
k5_kitkat,0.2,3711,-6.080056652336815e-07,5.024999940224273e-10,0.7181686856111871
k5_kitkat,0.2,3719,-6.080056652336815e-07,-2.0083752086799276e-10,0.7181686856111871
k5_kitkat,0.2,3720,-6.080056652336815e-07,1.1548894079279295e-09,0.7181686856111871
k5_kitkat,0.2,3744,-5.011873827363438e-07,1.4967501593563252e-09,0.6574044674270266
k5_kitkat,0.2,3745,-5.011873827363438e-07,-3.8821595995867263e-10,0.6574044674270266
k5_kitkat,0.2,3753,-5.011873827363438e-07,5.5127021661412894e-11,0.6574044674270266
k5_kitkat,0.2,3754,-5.011873827363438e-07,-6.596935994318591e-10,0.6574044674270266
k5_kitkat,0.2,3792,-5.110961469919033e-07,4.489461647685413e-12,0.6632754115850601
k5_kitkat,0.2,3793,-5.110961469919033e-07,-6.767042181285867e-11,0.6632754115850601
k5_kitkat,0.2,3953,-5.644619211646246e-07,-1.762333985377752e-10,0.694041173379335
k5_kitkat,0.2,3954,-5.644619211646246e-07,-2.5392082175629988e-11,0.694041173379335
k5_kitkat,0.2,3957,-5.625478256225093e-07,2.1077911127335934e-11,0.6929613011051913
k5_kitkat,0.2,3958,-5.625478256225093e-07,-2.857388154163728e-10,0.6929613011051913
k5_kitkat,0.2,3968,-5.625478256225093e-07,-6.577095033325015e-10,0.6929613011051913
k5_kitkat,0.2,3969,-5.625478256225093e-07,-3.622404762330517e-10,0.6929613011051913
k5_kitkat,0.2,4142,-0.00019612250877621437,3.29092499408694e-10,12.38977210253078
