radius,slot,step_input,he_output,dist_km
0.5,154,-9.38105514353304e-06,7.348895045702612e-10,2.7551232011689013
0.5,156,-9.38105514353304e-06,5.934855197127738e-10,2.7551232011689013
0.5,158,3.191566651253446e-07,0.9999999994765207,0.016091923638702973
0.5,160,-9.38105514353304e-06,3.5332554681090336e-10,2.7551232011689013
0.5,162,3.191566651253446e-07,0.9999999998106475,0.016091923638702973
0.5,164,-0.0024303381865756735,6.816351619815205e-10,43.61188986640833
0.5,166,-0.002431181269719237,-2.9970303132448135e-13,43.61945268815586
0.5,169,-0.002431181269719237,5.707234524561106e-11,43.61945268815586
0.5,171,-0.0024245867930933855,6.847371989379414e-10,43.560262338839074
0.5,173,-0.002431181269719237,2.085624927096167e-10,43.61945268815586
0.5,175,-0.0024245867930933855,2.0267142413465886e-10,43.560262338839074
0.5,177,-0.002431181269719237,5.637414862795216e-10,43.61945268815586
0.5,179,-0.0024245867930933855,-5.554628897007845e-12,43.560262338839074
0.5,181,-9.374202324700515e-06,-7.109429064251618e-11,2.754149869248217
0.5,184,-9.374202324700515e-06,8.197549282064143e-11,2.754149869248217
0.5,186,-9.374202324700515e-06,2.0463611212209331e-10,2.754149869248217
0.5,189,-9.20680721817587e-06,-8.654504768922576e-10,2.7302663474754754
0.5,191,-9.196763306992941e-06,-1.7029893244594413e-11,2.728826659474686
0.5,192,-9.30412580698887e-06,9.790432869476356e-11,2.7441768194648244
0.5,194,-9.31181799449131e-06,4.681004075406589e-10,2.745273315415976
0.5,195,-3.06684827220783e-05,-7.364198013516582e-10,4.924244097698194
0.5,197,-3.0682355780176494e-05,-2.2318832772272916e-10,4.925346246040596
0.5,199,-9.352721280678526e-06,-4.66496947491466e-10,2.7510966033112645
0.5,201,-9.351920815429535e-06,1.412557062882335e-10,2.750982761539387
0.5,203,-9.352721280678526e-06,1.5190372943629314e-10,2.7510966033112645
0.5,205,-9.351920815429535e-06,-8.275379446882649e-11,2.750982761539387
0.5,207,-8.262918504258336e-08,9.87227939640782e-10,0.5609434781842924
0.5,209,2.8697064196471195e-07,0.9999999997485617,0.1595136667991456
0.5,211,-0.002434008806211655,-4.1067863655847325e-10,43.644807350021274
0.5,213,-0.0024340149138305954,-5.572936469957016e-11,43.644862101404954
0.5,215,-9.241113694636752e-06,-3.9530739451959886e-10,2.735178101902854
0.5,218,-9.268107218178993e-06,-7.059823992755021e-10,2.7390366486149396
0.5,221,-2.6197493770082567e-05,2.2535286620784023e-10,4.555174819577347
0.5,223,-2.6196414065565816e-05,2.171075266692351e-11,4.5550820810256605
0.5,225,-9.25645119463617e-06,4.4565943552927364e-10,2.737371163907096
0.5,227,-0.00039424345613670633,4.4265130178010603e-10,17.57118919440943
0.5,229,-0.002430805236142645,-7.768529749436192e-11,43.61607966576149
0.5,232,-0.002430805236142645,-3.019015328688451e-10,43.61607966576149
0.5,234,-0.0023638395311463005,-4.852133049988583e-10,43.01117924354588
0.5,236,-0.002430805236142645,-1.683223258873288e-10,43.61607966576149
0.5,238,-0.0023638395311463005,-3.4282475247272143e-10,43.01117924354588
0.5,240,-0.002430805236142645,-9.169872601865805e-11,43.61607966576149
0.5,242,-0.0023638395311463005,-4.788124075847469e-10,43.01117924354588
0.5,244,-0.002430805236142645,-4.2333855296582286e-10,43.61607966576149
0.5,246,-0.0023638395311463005,-7.342760920608236e-10,43.01117924354588
0.5,248,-0.002430805236142645,2.905083088683131e-10,43.61607966576149
0.5,250,-0.0023638395311463005,-4.3795099981804134e-10,43.01117924354588
0.5,252,-0.002430805236142645,-6.728282731394e-11,43.61607966576149
